protein_position,competition_label,canonical_gene_symbol,resolution,resolution_note,uniprot_accession,uniprot_entry_name,sgd_id,systematic_name,protein_name,sequence_length,sequence_sha256,string_id,biogrid_id,reactome_ids,kegg_ids,go_ids,uniprot_pathway
12,AAT2,AAT2,primary_exact,,P23542,AATC_YEAST,S000004017,YLR027C,"Aspartate aminotransferase, cytoplasmic (EC 2.6.1.1) (Transaminase A)",418,fd8c94d37d295be9822b09302ba280edb1344e490f2ecc37eb7a60815e7a6274,4932.YLR027C,31301,R-SCE-8963693;R-SCE-9856872,sce:YLR027C,GO:0004069; GO:0005777; GO:0005829; GO:0006103; GO:0006531; GO:0006532; GO:0006536; GO:0030170; GO:0032938; GO:0043023,
13,ABD1,ABD1,primary_exact,,P32783,MCES_YEAST,S000000440,YBR236C,mRNA cap guanine-N(7) methyltransferase (EC 2.1.1.56) (mRNA (guanine-N(7))-methyltransferase) (mRNA cap methyltransferase),436,371043c1c16b60e4e27af480e6e4b14cfa5b1b718762684193b834cdc47b35ca,4932.YBR236C,32931,R-SCE-72086;R-SCE-77075,sce:YBR236C,GO:0003723; GO:0004482; GO:0005634; GO:0005829; GO:0006370,
14,ABF1,ABF1,primary_exact,,P14164,ABF1_YEAST,S000001595,YKL112W,ARS-binding factor 1 (Bidirectionally acting factor 1) (DNA replication enhancer-binding protein OBF1) (SFB-B),731,0b84fbfd90ce4bcfcaec3d7984a698cc6a2723ce8a0de4ba83fa1232f3074c9c,4932.YKL112W,34022,,sce:YKL112W,GO:0000113; GO:0000122; GO:0000978; GO:0001228; GO:0003688; GO:0005634; GO:0006261; GO:0006338; GO:0006351; GO:0030466; GO:0043565; GO:0044374; GO:0045944; GO:0070911,
15,ABF2,ABF2,primary_exact,,Q02486,ABF2_YEAST,S000004676,YMR072W,"ARS-binding factor 2, mitochondrial",183,71a4f4440ad55c0b0e98d224f6f766374c03825891a066e9629a92a6cb872e08,4932.YMR072W,35247,R-SCE-140342;R-SCE-163282;R-SCE-9837999,sce:YMR072W,GO:0000001; GO:0000262; GO:0003677; GO:0005634; GO:0005739; GO:0006338; GO:0008301; GO:0042645; GO:0090139,
16,ABP1,ABP1,primary_exact,,P15891,ABP1_YEAST,S000000684,YCR088W,Actin-binding protein,592,4a0e199a9214cdd016f309ca0bd56c3f3574f437f619a7eac04c9834dda5e521,4932.YCR088W,31060,,sce:YCR088W,GO:0000147; GO:0005737; GO:0005938; GO:0030427; GO:0030479; GO:0030833; GO:0030864; GO:0043332; GO:0044379; GO:0051015; GO:0051016; GO:2000601,
17,ABP140,ABP140,primary_exact,,Q08641,AB140_YEAST,S000005765,YOR239W,tRNA(Thr) (cytosine(32)-N(3))-methyltransferase (EC 2.1.1.268) (Actin-binding protein of 140 kDa) (tRNA methyltransferase of 140 kDa),628,78231cab2d59d84fdffa76b756070ab5e8f7b0f5fbb9ae63153e6f65a472d370,4932.YOR239W,34631,,sce:YOR239W,GO:0005737; GO:0005884; GO:0030488; GO:0030674; GO:0032432; GO:0043332; GO:0051015; GO:0052735; GO:0075523,
18,ABZ1,ABZ1,primary_exact,,P37254,ADCS_YEAST,S000005316,YNR033W,Aminodeoxychorismate synthase (ADC synthase) (EC 2.6.1.85) (P-aminobenzoic acid synthase) (PABA synthase) (Para-aminobenzoate synthase),787,71e00b7369c754d8db8ef520225001df69b180264e906c5b96d379845530c6a9,4932.YNR033W,35858,,sce:YNR033W,GO:0005737; GO:0008153; GO:0046654; GO:0046656; GO:0046820,PATHWAY: Cofactor biosynthesis; tetrahydrofolate biosynthesis; 4-aminobenzoate from chorismate: step 1/2. {ECO:0000269|PubMed:8346682}.
19,ABZ2,ABZ2,primary_exact,,Q03266,PABC_YEAST,S000004902,YMR289W,Aminodeoxychorismate lyase (EC 4.1.3.38) (4-amino-4-deoxychorismate lyase) (ADC lyase) (ADCL),374,ba690902a772cdbe46d0f39c15acbe8001d68efbd49c05739c98c57c5b4a6dc4,4932.YMR289W,35469,,sce:YMR289W,GO:0005737; GO:0008696; GO:0019752; GO:0046654; GO:0046656,PATHWAY: Cofactor biosynthesis; tetrahydrofolate biosynthesis; 4-aminobenzoate from chorismate: step 2/2.
20,ACA1,ACA1,primary_exact,,P39970,ACA1_YEAST,S000000847,YER045C,ATF/CREB activator 1,489,93e415ea7efc8510af6e0443b3dcf0659a605c34fbab65244432240992ea68fd,4932.YER045C,36782,R-SCE-3214847;R-SCE-450341,sce:YER045C,GO:0000978; GO:0000981; GO:0001228; GO:0005634; GO:0006351; GO:0006357; GO:0043565; GO:0045944,
21,ACB1,ACB1,primary_exact,,P31787,ACBP_YEAST,S000003269,YGR037C,Acyl-CoA-binding protein (ACBP),87,96715c668721c11dea46afb9a395693443fff998a6d51db2d0882c8d666d6a26,4932.YGR037C,33282,R-SCE-77289,sce:YGR037C,GO:0005576; GO:0005634; GO:0005737; GO:0005829; GO:0006631; GO:0036042; GO:0042761,
22,ACC1,ACC1,primary_exact,,Q00955,ACAC_YEAST,S000005299,YNR016C,Acetyl-CoA carboxylase (ACC) (EC 6.4.1.2) (Fatty acid synthetase 3) (mRNA transport-defective protein 7) [Includes: Biotin carboxylase (EC 6.3.4.14)],2233,f68d7991fe2eca6b0fb83511a0304363c47d235faa830f157bbf043e501ecc7a,4932.YNR016C,35841,R-SCE-196780;R-SCE-200425;R-SCE-75105,sce:YNR016C,GO:0003989; GO:0004075; GO:0005524; GO:0005739; GO:0005789; GO:0005829; GO:0006085; GO:0006606; GO:0006633; GO:0009317; GO:0016743; GO:0042759; GO:0042802; GO:0042803; GO:0046872; GO:1905502; GO:2001295,PATHWAY: Lipid metabolism; malonyl-CoA biosynthesis; malonyl-CoA from acetyl-CoA: step 1/1.
23,ACE2,ACE2,primary_exact,,P21192,ACE2_YEAST,S000004121,YLR131C,Metallothionein expression activator,770,240a6cabcc4d47839089417186794f2e80fb6a6b17763be3ab3cc56759f1495b,4932.YLR131C,31400,,sce:YLR131C,GO:0000082; GO:0000122; GO:0000978; GO:0000981; GO:0000987; GO:0005634; GO:0005737; GO:0005829; GO:0006351; GO:0006357; GO:0008270; GO:0043565; GO:0045944; GO:0060196; GO:2001043,
24,ACF2,ACF2,primary_exact,,Q12168,ENG2_YEAST,S000004134,YLR144C,"Glucan endo-1,3-beta-D-glucosidase 2 (Endo-1,3-beta-glucanase 2) (EC 3.2.1.39) (Laminarinase-2)",779,d098252cfb1b8031637d972eead7ab7b128d0f8de47bc12358017b5a58416e5c,4932.YLR144C,31413,,sce:YLR144C,GO:0000272; GO:0005737; GO:0009986; GO:0030036; GO:0042973; GO:0052861; GO:0071555,
25,ACF4,ACF4,primary_exact,,P47129,ACF4_YEAST,S000003843,YJR083C,Assembly-complementing factor 4,309,ee0ccebc8d38a8bc364e8587627409dff33982951e31880815fa193d72bae091,4932.YJR083C,33838,,sce:YJR083C,,
26,ACH1,ACH1,primary_exact,,P32316,ACH1_YEAST,S000000111,YBL015W,Acetyl-CoA hydrolase (EC 3.1.2.1) (Acetyl-CoA deacylase) (Acetyl-CoA acylase),526,89a861e0402e658eadcfa3c733508e3fc7a2a275223db33c5bd9758d6805c0ae,4932.YBL015W,32683,,sce:YBL015W,GO:0003986; GO:0005739; GO:0005829; GO:0006083; GO:0008775,
27,ACK1,ACK1,primary_exact,,Q07622,ACK1_YEAST,S000002362,YDL203C,Activator of C kinase protein 1,623,e9d41097e701786069034dd3ec33a5b430d4a6e2f5023c056842c4ab616e2ffd,4932.YDL203C,31843,,sce:YDL203C,GO:0005739; GO:0009967; GO:0031505,
28,ACL4,ACL4,primary_exact,,Q03771,ACL4_YEAST,S000002568,YDR161W,Assembly chaperone of RPL4,387,7fe9db1e6d111d978c736b0d3ecbe1f6c432765223611463bf9e042ca7be9016,4932.YDR161W,32212,,sce:YDR161W,GO:0005634; GO:0005737; GO:0005741; GO:0030150; GO:0030943; GO:0042273; GO:0045039; GO:0051082; GO:0051083; GO:0140318,
29,ACM1,ACM1,primary_exact,,Q08981,ACM1_YEAST,S000006188,YPL267W,APC/C-CDH1 modulator 1,209,7fcd1657678b3474b5602076af6d970729077114fd912164b20e8f95b40da8a8,4932.YPL267W,35946,,sce:YPL267W,GO:0005634; GO:0005737; GO:0006351; GO:0031397; GO:0051301; GO:0055105,
30,ACO1,ACO1,primary_exact,,P19414,ACON_YEAST,S000004295,YLR304C,"Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)",778,569b42165c81f1b2c14bd882863c8e21bfd0c59542bb48a88255d00b7d4e5ae1,4932.YLR304C,31569,R-SCE-71403;R-SCE-9837999;R-SCE-9854311,sce:YLR304C,GO:0003690; GO:0003697; GO:0003729; GO:0003994; GO:0005739; GO:0005758; GO:0005759; GO:0005829; GO:0006099; GO:0042645; GO:0046872; GO:0051536; GO:0051539,PATHWAY: Carbohydrate metabolism; tricarboxylic acid cycle; isocitrate from oxaloacetate: step 2/2. {ECO:0000269|PubMed:1972545}.
31,ACO2,ACO2,primary_exact,,P39533,ACON2_YEAST,S000003736,YJL200C,"Homocitrate dehydratase, mitochondrial (EC 4.2.1.-) (Aconitase 2)",789,e86967bc706492f6f2c1cfdfaec42fc3611d32316fc2a5be829d6ac3ed6da3ad,4932.YJL200C,33557,,sce:YJL200C,GO:0003994; GO:0005739; GO:0005829; GO:0006099; GO:0019878; GO:0046872; GO:0051539,PATHWAY: Amino-acid biosynthesis; L-lysine biosynthesis via AAA pathway; L-alpha-aminoadipate from 2-oxoglutarate: step 2/5.
32,ACP1,ACP1,primary_exact,,P32463,ACPM_YEAST,S000001675,YKL192C,"Acyl carrier protein, mitochondrial (ACP) (NADH-ubiquinone oxidoreductase 9.6 kDa subunit)",125,b3f8bf82d95536b1d830eaa20aa7f27c1b366df8683bae9634ecfdb7c471fbd2,4932.YKL192C,33929,R-SCE-77289;R-SCE-9857492,sce:YKL192C,GO:0000035; GO:0000036; GO:0005739; GO:0009107; GO:0016226; GO:0022904; GO:0099128,PATHWAY: Lipid metabolism; fatty acid biosynthesis.
33,ACS1,ACS1,primary_exact,,Q01574,ACS1_YEAST,S000000050,YAL054C,Acetyl-coenzyme A synthetase 1 (EC 6.2.1.1) (Acetate--CoA ligase 1) (Acyl-activating enzyme 1),713,15354f336a64cc880160080ad76d98643eb0ed20630d49cbd1ba54cb3718c305,4932.YAL054C,31775,R-SCE-71384,sce:YAL054C,GO:0003987; GO:0005524; GO:0005634; GO:0005739; GO:0005829; GO:0006085; GO:0016208; GO:0016880; GO:0019427; GO:0019654,
34,ACS2,ACS2,primary_exact,,P52910,ACS2_YEAST,S000004143,YLR153C,Acetyl-coenzyme A synthetase 2 (EC 6.2.1.1) (Acetate--CoA ligase 2) (Acyl-activating enzyme 2),683,9681fa7c587225c789308788be9eecfcdab72dc6da83b8ad2b0d9ac68757a93e,4932.YLR153C,31422,R-SCE-71384,sce:YLR153C,GO:0003987; GO:0005524; GO:0005634; GO:0005730; GO:0005829; GO:0006085; GO:0006090; GO:0006979; GO:0016208; GO:0016880; GO:0019427; GO:0040029,PATHWAY: Carbohydrate metabolism; pyruvate metabolism.
35,ACT1,ACT1,primary_exact,,P60010,ACT_YEAST,S000001855,YFL039C,Actin (EC 3.6.4.-),375,16c7e46d7d232b1fae7203ffd31df01f0ef58fb5880884599ed7cb1f8d0ede19,4932.YFL039C,31107,R-SCE-114608;R-SCE-190873;R-SCE-196025;R-SCE-2029482;R-SCE-5626467;R-SCE-5663213;R-SCE-8980692,sce:YFL039C,GO:0000011; GO:0000142; GO:0000785; GO:0000812; GO:0005200; GO:0005524; GO:0005634; GO:0005884; GO:0006281; GO:0006338; GO:0006351; GO:0006355; GO:0006897; GO:0009306; GO:0015629; GO:0016887; GO:0030010; GO:0030476; GO:0030479; GO:0031011; GO:0032432; GO:0035267; GO:0042802; GO:1902404,
36,ADA2,ADA2,primary_exact,,Q02336,ADA2_YEAST,S000002856,YDR448W,SAGA complex subunit ADA2 (Transcriptional adapter 2),434,4d7e42e3d9bca92a731f951640f3d70ecc8cd1399549e9d1e02e6be7ee28d5e2,4932.YDR448W,32503,,sce:YDR448W,GO:0000124; GO:0000183; GO:0000781; GO:0001786; GO:0003682; GO:0003713; GO:0005634; GO:0006325; GO:0006338; GO:0006351; GO:0006357; GO:0008270; GO:0031509; GO:0046695; GO:0070461; GO:0140671; GO:1990414,
37,ADD37,ADD37,primary_exact,,Q03233,ADD37_YEAST,S000004796,YMR184W,Alpha1-proteinase inhibitor-degradation deficient protein 37,198,dab0977fc2ad18a8bd301015b0c11526f089db691198e9bf75aa8757f5e4997b,4932.YMR184W,35362,,sce:YMR184W,GO:0005737; GO:0036503,
38,ADD66,ADD66,primary_exact,,P36040,POC2_YEAST,S000001689,YKL206C,Proteasome assembly chaperone 2 (Alpha-1-proteinase inhibitor-degradation deficient protein 66) (Proteasome biogenesis-associated protein 2),267,8c4bab045970d5f1fa20cb517618d799f0166a801472405e25086a4cd9ace210,4932.YKL206C,33917,R-SCE-9907900,sce:YKL206C,GO:0005634; GO:0005737; GO:0005829; GO:0043248; GO:0060090; GO:0080129,
39,ADE1,ADE1,primary_exact,,P27616,PUR7_YEAST,S000000070,YAR015W,Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase),306,932153bf7405aa5518e3088e55a90930cef378a57b86de8de142063fe310bcb0,4932.YAR015W,31799,,sce:YAR015W,GO:0004639; GO:0005524; GO:0005634; GO:0005737; GO:0006164; GO:0006189,PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide from 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate: step 1/2. {ECO:0000305|PubMed:1756975}.
40,ADE12,ADE12,primary_exact,,P80210,PURA_YEAST,S000005164,YNL220W,Adenylosuccinate synthetase (AMPSase) (AS-synthetase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase),433,d1198ec4b552116717f13480c89117bdbe84d23c59b18c0fbc19241389bc4509,4932.YNL220W,35616,R-SCE-73817,sce:YNL220W,GO:0000287; GO:0003688; GO:0004019; GO:0005525; GO:0005737; GO:0006164; GO:0044208; GO:0046040,PATHWAY: Purine metabolism; AMP biosynthesis via de novo pathway; AMP from IMP: step 1/2. {ECO:0000255|HAMAP-Rule:MF_03125}.
41,ADE13,ADE13,primary_exact,,Q05911,PUR8_YEAST,S000004351,YLR359W,Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase) (ASase),482,0a3fbfd7e52911b8acb985bd2e0ab84eac04f0516c6ee552dcd2bfb8446be4ac,4932.YLR359W,31620,R-SCE-73817,sce:YLR359W,GO:0004018; GO:0005829; GO:0006164; GO:0006189; GO:0044208; GO:0070626,PATHWAY: Purine metabolism; AMP biosynthesis via de novo pathway; AMP from IMP: step 2/2.; PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide from 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate: step 2/2.
42,ADE16,ADE16,primary_exact,,P54113,PUR91_YEAST,S000004018,YLR028C,Bifunctional purine biosynthesis protein ADE16 [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase) (AICAR transformylase); Inosine 5'-monophosphate cyclohydrolase (IMP cyclohydrolase) (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)],591,39abc653d9fbeddc04309795feae21d6fb4b1c4d1c2d152ed7f35144d78c5ca5,4932.YLR028C,31302,,sce:YLR028C,GO:0003937; GO:0004643; GO:0005829; GO:0006164; GO:0006189,"PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; 5-formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide from 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide (10-formyl THF route): step 1/1. {ECO:0000269|PubMed:10877846, ECO:0000269|PubMed:9143321}.; PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; IMP from 5-formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide: step 1/1. {ECO:0000269|PubMed:10877846, ECO:0000269|PubMed:9143321}."
43,ADE17,ADE17,primary_exact,,P38009,PUR92_YEAST,S000004727,YMR120C,Bifunctional purine biosynthesis protein ADE17 [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase) (AICAR transformylase); Inosine 5'-monophosphate cyclohydrolase (IMP cyclohydrolase) (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)],592,97640ec6f16f921c1314b28d4125b3831cef73af96ded5dfcea3fa72978f4ec2,4932.YMR120C,35297,R-SCE-73817,sce:YMR120C,GO:0003937; GO:0004643; GO:0005829; GO:0005886; GO:0006164; GO:0006189,"PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; 5-formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide from 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide (10-formyl THF route): step 1/1. {ECO:0000269|PubMed:10877846, ECO:0000269|PubMed:9143321}.; PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; IMP from 5-formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide: step 1/1. {ECO:0000269|PubMed:10877846, ECO:0000269|PubMed:9143321}."
44,ADE2,ADE2,primary_exact,,P21264,PUR6_YEAST,S000005654,YOR128C,Phosphoribosylaminoimidazole carboxylase (EC 4.1.1.21) (AIR carboxylase) (AIRC),571,328f8d7709baa7e78c86ec13a6b77308bf52f7359510bbeea10ea3abfd2015bb,4932.YOR128C,34523,,sce:YOR128C,GO:0004638; GO:0005524; GO:0005737; GO:0006144; GO:0006189; GO:0046872,PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate from 5-amino-1-(5-phospho-D-ribosyl)imidazole (carboxylase route): step 1/1.
45,ADE3,ADE3,primary_exact,,P07245,C1TC_YEAST,S000003436,YGR204W,"C-1-tetrahydrofolate synthase, cytoplasmic (C1-THF synthase) [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9); Formyltetrahydrofolate synthetase (EC 6.3.4.3)]",946,3da5a4cf59629af537fb7386db21c0657d52a8342712965d2f4b163c92a14075,4932.YGR204W,33457,R-SCE-196757,sce:YGR204W,GO:0000105; GO:0004329; GO:0004477; GO:0004488; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0006164; GO:0006760; GO:0009086; GO:0009113; GO:0035999,PATHWAY: One-carbon metabolism; tetrahydrofolate interconversion.
46,ADE4,ADE4,primary_exact,,P04046,PUR1_YEAST,S000004915,YMR300C,Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase),510,2c8d438ecc1a2cd31e1c2945b4d7ba77b789a22381e63b400fcd901873d51f30,4932.YMR300C,35480,,sce:YMR300C,GO:0004044; GO:0005737; GO:0006164; GO:0006189; GO:0009113; GO:0046872,PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; N(1)-(5-phospho-D-ribosyl)glycinamide from 5-phospho-alpha-D-ribose 1-diphosphate: step 1/2.
47,ADE57,ADE57,primary_exact,,P07244,PUR2_YEAST,S000003203,YGL234W,"Bifunctional purine biosynthetic protein ADE5,7 [Includes: Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (Glycinamide ribonucleotide synthetase) (GAR synthetase) (GARS) (Phosphoribosylglycinamide synthetase); Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIR synthetase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)]",802,33c99a26b4a5f9a142d8a9cf2d51408641a26ea70a5cab8280449a2ac50de1d5,4932.YGL234W,33005,R-SCE-73817,sce:YGL234W,GO:0004637; GO:0004641; GO:0005524; GO:0005737; GO:0005829; GO:0006144; GO:0006164; GO:0006189; GO:0046084; GO:0046872,PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; 5-amino-1-(5-phospho-D-ribosyl)imidazole from N(2)-formyl-N(1)-(5-phospho-D-ribosyl)glycinamide: step 2/2.; PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; N(1)-(5-phospho-D-ribosyl)glycinamide from 5-phospho-alpha-D-ribose 1-diphosphate: step 2/2.
48,ADE6,ADE6,primary_exact,,P38972,PUR4_YEAST,S000003293,YGR061C,Phosphoribosylformylglycinamidine synthase (FGAM synthase) (FGAMS) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase) (FGAR amidotransferase) (FGAR-AT) (Formylglycinamide ribotide amidotransferase),1358,44f4ec6d9d3d61997ad0ca546e42becac2ec54b3b79a1a05d519d12403a042f4,4932.YGR061C,33306,R-SCE-73817,sce:YGR061C,GO:0004642; GO:0005524; GO:0005737; GO:0006164; GO:0006189; GO:0046872,PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; 5-amino-1-(5-phospho-D-ribosyl)imidazole from N(2)-formyl-N(1)-(5-phospho-D-ribosyl)glycinamide: step 1/2.
49,ADE8,ADE8,primary_exact,,P04161,PUR3_YEAST,S000002816,YDR408C,Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART),214,4cc0f0bb420c6f6cb01e167752850025a824089a7d7167088c26051361e2a861,4932.YDR408C,32468,,sce:YDR408C,GO:0004644; GO:0005634; GO:0005737; GO:0006164; GO:0006189; GO:0046084,PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; N(2)-formyl-N(1)-(5-phospho-D-ribosyl)glycinamide from N(1)-(5-phospho-D-ribosyl)glycinamide (10-formyl THF route): step 1/1.
50,ADF1,ADF1,primary_exact,,Q2V2Q1,ADF1_YEAST,S000028518,YCL058W-A,Antisense of depressing factor protein 1,113,e8ee276b1543000fc1cb7651f845cd3c00ca12770140ca1b53ac006b3dd5c379,4932.YCL058W-A,37095,,sce:YCL058W-A,GO:0000122; GO:0000750; GO:0000977; GO:0005634; GO:0006351,
