competition_name,pubchem_query,pubchem_cid,resolution,feature_molecule_policy,resolution_note
Desipramine hydrochloride,Desipramine hydrochloride,65327,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
Doxycycline hyclate,Doxycycline hyclate,54686183,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
Dyclonine hydrochloride,Dyclonine hydrochloride,68304,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
EDTA,EDTA,6049,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
Emodin,Emodin,3220,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
FCCP,FCCP,3330,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
Fluconazole,Fluconazole,3365,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
G418,G418,123865,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
Geldanamycin,Geldanamycin,5288382,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
H2O2,H2O2,784,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
Haloperidol,Haloperidol,3559,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
Harmine hydrochloride,Harmine hydrochloride,5359389,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
Hoechst 33258,Hoechst 33258,2392,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
Hydroxyurea,Hydroxyurea,3657,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
Hygromycin B,Hygromycin B,56928061,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
LY 294002 hydrochloride,LY 294002 hydrochloride,11957589,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
MMS,MMS,4156,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
NaCl,NaCl,5234,exact-name,full-record,Keep both ions; largest-fragment standardization is not meaningful for this control compound.
Neomycin B,Neomycin B,8378,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
Nigericin,Nigericin,34230,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
Nocodazole,Nocodazole,4122,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
Nystatin dihydrate,Nystatin dihydrate,154809619,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
Oligomycin,Oligomycin A,52947716,curated-alias,fragment-parent,Family-level name returns 404; represented by Oligomycin A.
Parthenolide,Parthenolide,6473881,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
Pentamidine isethionate,Pentamidine isethionate,8813,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
Plumbagin,Plumbagin,10205,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
Raloxifene hydrochloride,Raloxifene hydrochloride,54900,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
Rapamycin,Rapamycin,5284616,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
SDS,Sodium dodecyl sulfate,3423265,curated-alias,fragment-parent,Exact abbreviation returns 404; expanded to sodium dodecyl sulfate.
Sorbitol,Sorbitol,5780,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
Staurosporine,Staurosporine,44259,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
Sulfometuron methyl,Sulfometuron methyl,52997,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
Tamoxifen,Tamoxifen,2733526,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
Trichostatin A,Trichostatin A,444732,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
Trifluoperazine dihydrochloride,Trifluoperazine dihydrochloride,66064,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
Tunicamycin,Tunicamycin A,11104835,curated-alias,fragment-parent,Family-level name returns 404; represented by Tunicamycin A (first PubChem alias result; mixture limitation flagged).
U-73122,U-73122,104794,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
Valinomycin,Valinomycin,3000706,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
Water,Water,962,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
Wortmannin,Wortmannin,312145,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
