competition_name,pubchem_query,pubchem_cid,resolution,feature_molecule_policy,resolution_note,entity_role,seen_in_train_metadata,seen_in_validation_metadata,seen_in_test_metadata,train_splits,validation_splits,test_splits,pubchem_title,pubchem_iupac_name,pubchem_molecular_formula,pubchem_molecular_weight,pubchem_isomeric_smiles,pubchem_connectivity_smiles,pubchem_inchi,pubchem_inchikey,rdkit_full_canonical_isomeric_smiles,rdkit_feature_canonical_isomeric_smiles,full_record_fragment_count,feature_atom_count,feature_morgan_on_bits
CHX,Cycloheximide,6197,curated-alias,fragment-parent,Exact abbreviation returns 404; expanded to cycloheximide.,treatment,True,True,True,train,val_strain_only;val_time,test_strain_only;test_time,Cycloheximide,"4-[(2R)-2-[(1S,3S,5S)-3,5-dimethyl-2-oxocyclohexyl]-2-hydroxyethyl]piperidine-2,6-dione",C15H23NO4,281.35,C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C,CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C,"InChI=1S/C15H23NO4/c1-8-3-9(2)15(20)11(4-8)12(17)5-10-6-13(18)16-14(19)7-10/h8-12,17H,3-7H2,1-2H3,(H,16,18,19)/t8-,9-,11-,12+/m0/s1",YPHMISFOHDHNIV-FSZOTQKASA-N,C[C@@H]1C[C@@H]([C@H](O)CC2CC(=O)NC(=O)C2)C(=O)[C@@H](C)C1,C[C@@H]1C[C@@H]([C@H](O)CC2CC(=O)NC(=O)C2)C(=O)[C@@H](C)C1,1,20,34
Cisplatin,Cisplatin,5702198,exact-name,full-record,Keep full disconnected PubChem record because fragment-parent would discard ammine fragments.,treatment,True,True,True,train,val_strain_only;val_time,test_strain_only;test_time,azane;dichloroplatinum,azane;dichloroplatinum,Cl2H6N2Pt,300.05,N.N.Cl[Pt]Cl,N.N.Cl[Pt]Cl,InChI=1S/2ClH.2H3N.Pt/h2*1H;2*1H3;/q;;;;+2/p-2,LXZZYRPGZAFOLE-UHFFFAOYSA-L,N.N.[Cl][Pt][Cl],N.N.[Cl][Pt][Cl],3,5,5
Clomiphene citrate,Clomiphene citrate,60974,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.,treatment,True,True,True,train,val_strain_only;val_time,test_strain_only;test_time,Clostilbegit,"2-[4-(2-chloro-1,2-diphenylethenyl)phenoxy]-N,N-diethylethanamine;2-hydroxypropane-1,2,3-tricarboxylic acid",C32H36ClNO8,598.1,CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,"InChI=1S/C26H28ClNO.C6H8O7/c1-3-28(4-2)19-20-29-24-17-15-22(16-18-24)25(21-11-7-5-8-12-21)26(27)23-13-9-6-10-14-23;7-3(8)1-6(13,5(11)12)2-4(9)10/h5-18H,3-4,19-20H2,1-2H3;13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)",PYTMYKVIJXPNBD-UHFFFAOYSA-N,CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1,2,29,36
Clotrimazole,Clotrimazole,2812,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.,treatment,True,True,True,train,val_strain_only;val_time,test_strain_only;test_time,Clotrimazole,1-[(2-chlorophenyl)-diphenylmethyl]imidazole,C22H17ClN2,344.8,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,"InChI=1S/C22H17ClN2/c23-21-14-8-7-13-20(21)22(25-16-15-24-17-25,18-9-3-1-4-10-18)19-11-5-2-6-12-19/h1-17H",VNFPBHJOKIVQEB-UHFFFAOYSA-N,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,1,25,32
Cyclopiazonic acid,Cyclopiazonic acid,54682463,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.,treatment,True,True,True,train,val_strain_only;val_time,test_strain_only;test_time,Cyclopiazonic Acid,"(2R,3S,9R)-5-acetyl-4-hydroxy-8,8-dimethyl-7,16-diazapentacyclo[9.6.1.02,9.03,7.015,18]octadeca-1(17),4,11(18),12,14-pentaen-6-one",C20H20N2O3,336.4,CC(=O)C1=C([C@@H]2[C@@H]3[C@@H](CC4=C5C3=CNC5=CC=C4)C(N2C1=O)(C)C)O,CC(=O)C1=C(C2C3C(CC4=C5C3=CNC5=CC=C4)C(N2C1=O)(C)C)O,"InChI=1S/C20H20N2O3/c1-9(23)14-18(24)17-16-11-8-21-13-6-4-5-10(15(11)13)7-12(16)20(2,3)22(17)19(14)25/h4-6,8,12,16-17,21,24H,7H2,1-3H3/t12-,16+,17+/m1/s1",SZINUGQCTHLQAZ-DQYPLSBCSA-N,CC(=O)C1=C(O)[C@@H]2[C@H]3c4c[nH]c5cccc(c45)C[C@H]3C(C)(C)N2C1=O,CC(=O)C1=C(O)[C@@H]2[C@H]3c4c[nH]c5cccc(c45)C[C@H]3C(C)(C)N2C1=O,1,25,52
DMSO,DMSO,679,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.,control,True,True,True,train,val_strain_only;val_time,test_strain_only;test_time,Dimethyl Sulfoxide,methylsulfinylmethane,C2H6OS,78.14,CS(=O)C,CS(=O)C,InChI=1S/C2H6OS/c1-4(2)3/h1-2H3,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(C)=O,C[S+](C)[O-],1,4,6
Desipramine hydrochloride,Desipramine hydrochloride,65327,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.,treatment,True,True,True,train,val_strain_only;val_time,test_strain_only,Desipramine Hydrochloride,"3-(5,6-dihydrobenzo[b][1]benzazepin-11-yl)-N-methylpropan-1-amine;hydrochloride",C18H23ClN2,302.8,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,"InChI=1S/C18H22N2.ClH/c1-19-13-6-14-20-17-9-4-2-7-15(17)11-12-16-8-3-5-10-18(16)20;/h2-5,7-10,19H,6,11-14H2,1H3;1H",XAEWZDYWZHIUCT-UHFFFAOYSA-N,CNCCCN1c2ccccc2CCc2ccccc21.Cl,CNCCCN1c2ccccc2CCc2ccccc21,2,20,29
Doxycycline hyclate,Doxycycline hyclate,54686183,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.,treatment,False,False,True,,,test_both;test_chem_only,Doryx,"bis((4S,4aR,5S,5aR,6R,12aR)-4-(dimethylamino)-1,5,10,11,12a-pentahydroxy-6-methyl-3,12-dioxo-4a,5,5a,6-tetrahydro-4H-tetracene-2-carboxamide);ethanol;hydrate;dihydrochloride",C46H58Cl2N4O18,1025.9,CCO.C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.O.Cl.Cl,CCO.CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.O.Cl.Cl,"InChI=1S/2C22H24N2O8.C2H6O.2ClH.H2O/c2*1-7-8-5-4-6-9(25)11(8)16(26)12-10(7)17(27)14-15(24(2)3)18(28)13(21(23)31)20(30)22(14,32)19(12)29;1-2-3;;;/h2*4-7,10,14-15,17,25-27,30,32H,1-3H3,(H2,23,31);3H,2H2,1H3;2*1H;1H2/t2*7-,10+,14+,15-,17-,22-;;;;/m00..../s1",UHHHTIKWXBRCLT-VDBOFHIQSA-N,CCO.C[C@H]1c2cccc(O)c2C(O)=C2C(=O)[C@]3(O)C(O)=C(C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.C[C@H]1c2cccc(O)c2C(O)=C2C(=O)[C@]3(O)C(O)=C(C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.Cl.Cl.O,C[C@H]1c2cccc(O)c2C(O)=C2C(=O)[C@]3(O)C(O)=C(C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,6,32,55
Dyclonine hydrochloride,Dyclonine hydrochloride,68304,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.,treatment,True,True,True,train,val_strain_only;val_time,test_strain_only;test_time,Dyclonine Hydrochloride,1-(4-butoxyphenyl)-3-piperidin-1-ylpropan-1-one;hydrochloride,C18H28ClNO2,325.9,CCCCOC1=CC=C(C=C1)C(=O)CCN2CCCCC2.Cl,CCCCOC1=CC=C(C=C1)C(=O)CCN2CCCCC2.Cl,"InChI=1S/C18H27NO2.ClH/c1-2-3-15-21-17-9-7-16(8-10-17)18(20)11-14-19-12-5-4-6-13-19;/h7-10H,2-6,11-15H2,1H3;1H",KNZADIMHVBBPOA-UHFFFAOYSA-N,CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1.Cl,CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1,2,21,37
EDTA,EDTA,6049,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.,treatment,True,True,True,train,val_strain_only;val_time,test_strain_only;test_time,Ethylenediaminetetraacetic Acid,2-[2-[bis(carboxymethyl)amino]ethyl-(carboxymethyl)amino]acetic acid,C10H16N2O8,292.24,C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,"InChI=1S/C10H16N2O8/c13-7(14)3-11(4-8(15)16)1-2-12(5-9(17)18)6-10(19)20/h1-6H2,(H,13,14)(H,15,16)(H,17,18)(H,19,20)",KCXVZYZYPLLWCC-UHFFFAOYSA-N,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,1,20,14
Emodin,Emodin,3220,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.,treatment,True,True,True,train,val_strain_only;val_time,test_strain_only;test_time,Emodin,"1,3,8-trihydroxy-6-methylanthracene-9,10-dione",C15H10O5,270.24,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O,"InChI=1S/C15H10O5/c1-6-2-8-12(10(17)3-6)15(20)13-9(14(8)19)4-7(16)5-11(13)18/h2-5,16-18H,1H3",RHMXXJGYXNZAPX-UHFFFAOYSA-N,Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,1,20,26
FCCP,FCCP,3330,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.,treatment,False,True,True,,val_both;val_chem_only,test_both,Carbonyl cyanide p-trifluoromethoxyphenylhydrazone,2-[[4-(trifluoromethoxy)phenyl]hydrazinylidene]propanedinitrile,C10H5F3N4O,254.17,C1=CC(=CC=C1NN=C(C#N)C#N)OC(F)(F)F,C1=CC(=CC=C1NN=C(C#N)C#N)OC(F)(F)F,"InChI=1S/C10H5F3N4O/c11-10(12,13)18-9-3-1-7(2-4-9)16-17-8(5-14)6-15/h1-4,16H",BMZRVOVNUMQTIN-UHFFFAOYSA-N,N#CC(C#N)=NNc1ccc(OC(F)(F)F)cc1,N#CC(C#N)=NNc1ccc(OC(F)(F)F)cc1,1,18,31
Fluconazole,Fluconazole,3365,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.,treatment,False,False,True,,,test_both;test_chem_only,Fluconazole,"2-(2,4-difluorophenyl)-1,3-bis(1,2,4-triazol-1-yl)propan-2-ol",C13H12F2N6O,306.27,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,"InChI=1S/C13H12F2N6O/c14-10-1-2-11(12(15)3-10)13(22,4-20-8-16-6-18-20)5-21-9-17-7-19-21/h1-3,6-9,22H,4-5H2",RFHAOTPXVQNOHP-UHFFFAOYSA-N,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,1,22,35
G418,G418,123865,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.,treatment,False,False,True,,,test_both;test_chem_only,Geneticin,"(2R,3R,4R,5R)-2-[(1S,2S,3R,4S,6R)-4,6-diamino-3-[(2S,3R,4R,5S,6R)-3-amino-4,5-dihydroxy-6-[(1R)-1-hydroxyethyl]oxan-2-yl]oxy-2-hydroxycyclohexyl]oxy-5-methyl-4-(methylamino)oxane-3,5-diol",C20H40N4O10,496.6,C[C@H]([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](C[C@H]([C@@H]([C@H]2O)O[C@@H]3[C@@H]([C@H]([C@@](CO3)(C)O)NC)O)N)N)N)O)O)O,CC(C1C(C(C(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)O)O)O,"InChI=1S/C20H40N4O10/c1-6(25)14-11(27)10(26)9(23)18(32-14)33-15-7(21)4-8(22)16(12(15)28)34-19-13(29)17(24-3)20(2,30)5-31-19/h6-19,24-30H,4-5,21-23H2,1-3H3/t6-,7+,8-,9-,10-,11+,12+,13-,14-,15-,16+,17-,18-,19-,20+/m1/s1",BRZYSWJRSDMWLG-DJWUNRQOSA-N,CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H]([C@@H](C)O)[C@@H](O)[C@H](O)[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H]([C@@H](C)O)[C@@H](O)[C@H](O)[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,1,34,56
